group,time,s_MP,change,type,length,sum_change,area,surge_area,group,time,change,type,p_MP,p_buyCap,p_askCap,p_totalBidVol,p_totalAskVol,length,sum_change,area
6267,1676921108305.0,20.94,0.0006208213944603136,surge,1,0.0006208213944603136,0.0006208213944603136,0.0006208213944603136,6268.0,1676921244040.0,-0.00023857236980292517,precursor,20.95,4826287.08,34212882.71,478591.59,315275.17,8.0,-0.005019609515232393,-0.04015687612185914
6269,1676922757972.0,20.85,0.001247462748641448,surge,5,0.007750562323424893,0.03875281161712446,0.03875281161712446,6270.0,1676924336508.0,-0.0038073511464738587,precursor,20.96,4716272.38,34411623.84,473359.5,323352.01,1.0,-0.0038073511464738587,-0.0038073511464738587
6271,1676924729359.0,20.97,0.002723432741380405,surge,1,0.002723432741380405,0.002723432741380405,0.002723432741380405,6272.0,1676925148571.0,-0.0030462944259263105,precursor,20.92,4699664.96,34343622.77,472903.86,320427.49,15.0,-0.009734314679057388,-0.1460147201858608
6273,1676933317949.0,20.82,0.0027909377864240746,surge,2,0.005575985296381525,0.01115197059276305,0.01115197059276305,6274.0,1676935560975.0,-0.001195188942755998,precursor,20.86,4593086.32,34281839.92,468228.45,317636.16,2.0,-0.005026540582529238,-0.010053081165058476
6275,1676937360799.0,20.78,0.0030796732709889585,surge,1,0.0030796732709889585,0.0030796732709889585,0.0030796732709889585,6276.0,1676938175441.0,-0.0030082231343131925,precursor,20.86,4685202.03,34387129.93,472497.07,322337.47,1.0,-0.0030082231343131925,-0.0030082231343131925
6277,1676939359557.0,20.76,0.0020262657252326454,surge,1,0.0020262657252326454,0.0020262657252326454,0.0020262657252326454,6278.0,1676940458515.0,-0.0028246042202707657,precursor,20.85,4491565.36,34450017.25,462622.66,326273.96,4.0,-0.010765376812786887,-0.043061507251147546
6279,1676946044545.0,20.58,0.006653624134065017,surge,1,0.006653624134065017,0.006653624134065017,0.006653624134065017,6280.0,1676947765816.0,-0.0018394892379133055,precursor,20.81,4208189.71,34558100.05,448497.8,331348.79,6.0,-0.011209551705387498,-0.067257310232325
6281,1676956885700.0,20.56,0.0032668690175498894,surge,4,0.010928422009727745,0.04371368803891098,0.04371368803891098,6282.0,1676963125569.0,-0.002166710237656311,precursor,20.72,4087207.28,34519463.88,442672.83,330822.37,1.0,-0.002166710237656311,-0.002166710237656311
6283,1676964973687.0,20.73,0.002369252166608671,surge,2,0.0028992798362665884,0.005798559672533177,0.005798559672533177,6284.0,1676968868954.0,-0.019752223633495148,precursor,20.48,3788526.44,34161873.0,429337.32,313305.33,5.0,-0.03220685545633049,-0.16103427728165243
6285,1676980964421.0,20.15,0.005128495550576195,surge,1,0.005128495550576195,0.005128495550576195,0.005128495550576195,6286.0,1676983988607.0,0.00030532564911620594,precursor,20.22,3865271.67,34277696.47,434755.5,320683.82,3.0,-0.08564182183055881,-0.25692546549167644
6287,1676989742915.0,20.19,0.14690819148793618,surge,1,0.14690819148793618,0.14690819148793618,0.14690819148793618,6288.0,1676989772917.0,-0.0007913936067050042,precursor,20.2,3810527.99,34224542.16,432226.64,318009.59,1.0,-0.0007913936067050042,-0.0007913936067050042
