,group,time,s_MP,change,type,length,sum_change,area,surge_area,group.1,time.1,change.1,type.1,p_MP,precursor_buy_cap_pct_change,precursor_ask_cap_pct_change,precursor_bid_vol_pct_change,precursor_ask_vol_pct_change,length.1,sum_change.1,area.1,Cluster
2409,4819,1673082700000.0,11.76,0.0013627901,surge,1,0.0013627901,0.0013627901,0.0013627901,4820.0,1673084400000.0,2.167392e-07,precursor,11.77,0.0027475443,0.0015915509,0.0011863951,0.0059721596,4.0,-0.003995296,-0.015981184,Cluster 0
2410,4821,1673091400000.0,11.73,0.00059799803,surge,1,0.00059799803,0.00059799803,0.00059799803,4822.0,1673093700000.0,-0.0016199242,precursor,11.72,-0.0087974,0.002094151,-0.003862496,0.013463188,2.0,-0.0013632221,-0.0027264443,Cluster 0
2411,4823,1673097100000.0,11.73,0.0011106009,surge,1,0.0011106009,0.0011106009,0.0011106009,4824.0,1673100500000.0,-0.001448693,precursor,11.7,0.8253014,0.032090854,0.27210718,0.1393477,1.0,-0.001448693,-0.001448693,Cluster 0
2412,4825,1673103100000.0,11.71,0.0010252029,surge,2,0.00196508,0.00393016,0.00393016,4826.0,1673107000000.0,-0.0013640242,precursor,11.73,-0.0014341614,-0.0020042593,-0.0012169475,-0.0071261562,2.0,-0.005289451,-0.010578902,Cluster 0
2413,4827,1673113800000.0,11.67,0.0025717227,surge,2,0.08353198,0.16706397,0.16706397,4828.0,1673121200000.0,-0.1284668,precursor,11.77,-0.7833271,-0.9953626,-0.5918794,-0.34049022,13.0,-0.12846637,-1.6700628,Cluster 0
2414,4829,1673121900000.0,11.78,0.00084961765,surge,1,0.00084961765,0.00084961765,0.00084961765,4830.0,1673122000000.0,-8.4889645e-05,precursor,11.78,-0.00069646316,0.00016354707,-0.0003518998,0.0006119581,13.0,-0.0033978208,-0.04417167,Cluster 0
2415,4831,1673124800000.0,11.74,0.0009369676,surge,1,0.0009369676,0.0009369676,0.0009369676,4832.0,1673125200000.0,-8.4744286e-05,precursor,11.75,0.001505449,0.0007238116,0.00049831514,0.0024371867,11.0,-0.0051099462,-0.056209408,Cluster 0
2416,4833,1673131000000.0,11.7,0.0011975317,surge,1,0.0011975317,0.0011975317,0.0011975317,4834.0,1673132400000.0,-0.00034136942,precursor,11.71,-0.0057514645,0.0011536427,-0.0028367415,0.004191392,1.0,-0.00034136942,-0.00034136942,Cluster 0
2417,4835,1673133300000.0,11.72,0.0011967279,surge,2,0.0031604243,0.0063208486,0.0063208486,4836.0,1673134700000.0,2.9071288e-07,precursor,11.74,0.003879623,-0.0011063927,0.001472202,-0.003905295,1.0,2.9071288e-07,2.9071288e-07,Cluster 0
2418,4837,1673135500000.0,11.75,0.0015335105,surge,1,0.0015335105,0.0015335105,0.0015335105,4838.0,1673136600000.0,-0.001700392,precursor,11.77,0.0022445268,0.002146757,0.0004889697,0.0080332495,3.0,-0.011083966,-0.033251897,Cluster 0
2419,4839,1673138800000.0,11.65,0.002583465,surge,1,0.002583465,0.002583465,0.002583465,4840.0,1673140000000.0,-0.00017130586,precursor,11.67,0.0046944544,0.0015764849,0.0013136235,0.005936167,2.0,-0.0025720173,-0.0051440345,Cluster 0
