mp,tav,tbv,bc,ac,time
10.32,271368.852,18608.93,191449.542,12824604.023,1693251921
10.32,271018.852,18613.984,191501.648,12820992.023,1693251924
10.32,271038.624,18614.117,191506.568,12821196.07,1693251927
10.32,271088.624,18614.117,191508.98,12821711.985,1693251930
10.32,271023.326,18614.117,191508.98,12821038.11,1693251933
10.32,271023.326,17833.735,183467.739,12821038.11,1693251936
10.32,271023.326,17836.895,183500.378,12821033.771,1693251939
10.32,270668.103,18236.895,187624.378,12817365.189,1693251942
10.32,271719.198,19389.798,199521.06,12828389.091,1693251945
10.32,272105.66,18343.404,188752.252,12832395.519,1693251948
10.32,272015.369,18367.605,189002.401,12831462.642,1693251951
10.32,272179.246,18351.703,188839.936,12833158.686,1693251954
10.32,272179.246,18351.703,188838.849,12833158.686,1693251957
10.32,272403.843,18351.703,188838.698,12835475.85,1693251960
10.32,271871.803,18342.403,188744.246,12830005.077,1693251963
10.32,272071.803,18342.403,188744.246,12832069.077,1693251966
10.32,272071.803,18342.403,188744.246,12832069.077,1693251969
10.32,272280.779,18293.26,188237.477,12834225.709,1693251972
10.32,272155.938,18421.227,189555.731,12832937.543,1693251975
10.32,271186.565,18981.758,195333.288,12822936.03,1693251978
10.32,271211.332,18251.322,187818.733,12823206.058,1693251981
10.32,271136.86,18251.322,187818.431,12822435.801,1693251984
10.32,271143.496,18247.884,187781.894,12822501.811,1693251987
10.32,271995.389,18900.722,194501.357,12831288.139,1693251990
10.32,271687.509,18817.438,193655.634,12828110.818,1693251993
10.32,272032.572,18866.332,194158.964,12831671.868,1693251996
10.32,271726.757,18866.332,194159.1,12828511.211,1693251999
10.32,271899.534,18866.332,194158.964,12830298.618,1693252002
10.33,269431.095,12670.828,130471.805,12804847.856,1693252005
10.33,271087.722,12670.2,130460.084,12821955.14,1693252008
10.33,271112.677,12723.996,131014.183,12822212.925,1693252011
10.33,271115.977,12752.571,131309.602,12822247.014,1693252014
10.33,271112.677,15196.916,156461.313,12822212.925,1693252017
10.33,271336.182,15115.346,155621.142,12824521.732,1693252020
10.33,271336.182,15196.158,156452.698,12824521.732,1693252023
10.33,271332.583,15196.158,156447.078,12824486.9,1693252026
10.33,270685.696,15134.356,155813.098,12817804.793,1693252029
10.33,270199.894,15251.971,157023.561,12812786.458,1693252032
10.33,269448.086,15236.154,156862.045,12805020.282,1693252035
10.33,269636.241,15236.154,156862.045,12806965.311,1693252038
10.33,269636.241,14985.93,154297.861,12806969.843,1693252041
10.33,269155.184,16657.505,171553.968,12802255.93,1693252044
10.33,268938.517,16686.845,171857.529,12800024.886,1693252047
10.33,269045.675,17271.107,177891.752,12801184.097,1693252050
10.33,269072.282,17271.107,177892.024,12801459.746,1693252054
10.33,269072.282,16544.276,170401.599,12801459.746,1693252057
10.33,269072.282,16544.276,170401.599,12801459.746,1693252059
10.33,269068.246,16544.524,170406.211,12801421.854,1693252062
10.33,268717.896,16215.679,167029.469,12797795.834,1693252065
10.33,268257.697,16867.543,173747.452,12793019.412,1693252068
10.33,267993.208,16867.543,173748.192,12790287.241,1693252071
10.33,268355.795,17263.699,177829.693,12794044.744,1693252074
10.33,268439.663,17188.152,177051.438,12794908.089,1693252077
10.33,268439.663,17263.699,177829.886,12794908.089,1693252080
10.33,269840.354,16891.479,173976.586,12809368.838,1693252083
10.33,269840.354,16541.479,170364.586,12809366.519,1693252086
